"Sucursal","","","","","",""
"Producto / Servicio + Variante","","","","","",""
"Cliente","Mes","","","","",""
"Ciudad","02 Febrero","","","","",""
"MARCA","Suma de Subtotal Neto","Suma de Subtotal Bruto","Suma de Margen Neto","Suma de Costo Neto","Suma de Impuestos","Suma de Cantidad"
"FUNGHI PORCINI SECCHI BOSCO D'ORO 500 g","$405.720","$482.805","$201.320","$204.400","$77.085","7"
"FUSILLI BUCATI DEDICATO Nº75 GRANORO 500 g","$28.200","$33.558","$14.400","$13.800","$5.358","20"
"GIANDUIOTTI 400 g","$132.600","$157.793","$65.620","$66.980","$25.193","17"
"GISPECK DEL FRIULI LAMINADO 100 g","$70.610","$84.026","$36.363","$34.247","$13.416","23"
"GLASSA ALL'ACETO BALSAMICO DI MODENA CLASSICA 250 ml","$368.590","$438.622","$207.490","$161.100","$70.032","90"
"Glosa Costo de Envio","$12.606","$15.000","$0","$12.606","$2.394","3"
"GNOCCHI  CIEMME GLUTEN FREE 500 g","$111.252","$132.390","$28.202","$83.050","$21.138","55"
"GNOCCHI  CIEMME LA GNOCCHERIA 500 g","$6.174.798","$7.348.007","$3.469.306","$2.705.492","$1.173.209","3.891"
"GORGONZOLA DOLCE D.O.P. CIRESA 200 gr","$132.797","$158.029","$70.941","$61.856","$25.232","16"
"GORGONZOLA DOLCE D.O.P. CIRESA Kg","$435.206","$517.895","$218.130","$217.076","$82.689","12,09"
"GRANA PADANO D.O.P. ALBIERO 300 g","$194.606","$231.581","$95.882","$98.724","$36.975","9,44"
"GRANA PADANO D.O.P. ALBIERO Kg","$343.950","$409.299","$142.159","$201.792","$65.349","17,035"
"GRANA PADANO D.O.P. IN OTTAVO kg","$3.087.460","$3.674.072","$1.287.772","$1.799.688","$586.612","179,552"
"GRAPPA LIBARNA BIANCA MONTENEGRO 700 ml","$30.130","$45.345","$17.300","$12.830","$15.215","2"
"GRISSINI STIRATI TORINESI CLASSICI","$54.080","$64.356","$34.372","$19.708","$10.276","52"
"GRISSINI STIRATI TORINESI POMODORO E OREGANO","$128.440","$152.844","$85.329","$43.111","$24.404","130"
"GUANCIALE STAGIONATO Kg","$752.928","$895.985","$331.119","$421.809","$143.057","43,19"
"LAMBRUSCO BIANCO DELL'EMILIA IGT  750 ml","$12.588","$17.560","$9.100","$3.488","$4.972","2"
"LAMBRUSCO DI SORBARA DOC SECCO 750 ml","$6.674","$9.310","$4.494","$2.180","$2.636","1"
"LAMBRUSCO GRASPAROSSA DOC AMABILE 750 ml","$6.674","$9.311","$4.930","$1.744","$2.637","1"
"LAMBRUSCO ROSATO DELL'EMILIA IGT 750 ml","$21.516","$30.015","$11.916","$9.600","$8.499","4"
"LAMBRUSCO ROSSO DELL'EMILIA DOLCE IGT  750 ml","$31.470","$43.901","$22.750","$8.720","$12.431","5"
"LASAGNE Nº121 GRANORO 500 g","$48.564","$57.791","$21.636","$26.928","$9.227","24"
"LENTICCHIE GRANORO 400 g","$12.426","$14.787","$6.690","$5.736","$2.361","12"
"LIEVITO ISTANTANEO BUSTA A&F 500 g","$14.539","$17.302","$5.971","$8.568","$2.763","4"
"LIMONCELLO DI SORRENTO STREGA 700 ml","$79.581","$119.770","$46.413","$33.168","$40.189","6"
"LINGUINE DEDICATO Nº182 GRANORO 500 g","$374.440","$445.585","$197.640","$176.800","$71.145","260"
"LINGUINE Nº4 GRANORO 500 g","$83.398","$99.244","$53.446","$29.952","$15.846","72"
"MARSALA FINE  I.P. LAZZARONI 750 ml","$8.900","$12.416","$4.300","$4.600","$3.516","1"
"MIX CREOLA CON MOLINILLO CANNAMELA ","$12.780","$15.208","$6.180","$6.600","$2.428","6"
"MORTADELLA BOLOGNA CON PISTACCHIO Kg","$661.637","$787.349","$319.115","$342.522","$125.712","60,155"
"MORTADELLA BOLOGNA CON PISTACCHIO LAMINADO 100 g","$552.750","$657.774","$342.800","$209.950","$105.024","275"
"MOZZARELLA DI BUFALA FROZEN BUFALY 125 g","$5.016.754","$5.969.939","$2.366.754","$2.650.000","$953.185","2.120"
"MOZZARELLA FIOR DI LATTE 125 g","$196.000","$233.240","$63.840","$132.160","$37.240","112"
"MOZZARELLA FIOR DI LATTE 3 x 750 g","$93.765","$111.581","$55.638","$38.127","$17.816","3"
"MOZZARELLA FIOR DI LATTE BARRA 1 kg","$32.310","$38.449","$17.973","$14.337","$6.139","3"
"MOZZARELLA FIOR DI LATTE CHERRY 250 g","$613.275","$729.798","$260.645","$352.630","$116.523","197"
"MOZZARELLA FIOR DI LATTE JULIENNE 1.5 kg","$5.068.440","$6.031.443","$2.053.881","$3.014.559","$963.003","323"
"NO APLICA DESCUENTO ","$2.903","$3.455","$2.903","$0","$552","1"
"NUTELLA FERRERO BALDE 3 kg","$145.760","$173.456","$52.840","$92.920","$27.696","4"
"OLIVE DI BITETTO NOVELLA 290 g","$3.319","$3.950","$2.235","$1.084","$631","1"
"OLIVE NERE ALLA MARCHIGIANA ORTO CONSERVIERA 1.360 kg","$60.800","$72.352","$35.908","$24.892","$11.552","4"
"OLIVE NERE NOVELLA 314 g","$4.025","$4.790","$3.122","$903","$765","1"
"OLIVE VERDI BELLA CERIGNOLA ORTO CONSERVIERA 280 g","$5.286","$6.290","$3.639","$1.647","$1.004","1"
